userid,avg_retweetcount,followers,label
22240612,1.755377688844422,925487,0
6135622,39.63971071663379,1367996,0
848416437030985728,1.0,47826,0
984429894829592576,0.3988571428571428,328,0
807095565028917248,18.34,26020,0
538525553,0.7307692307692307,15801,0
1115874631,4.442622950819672,13039396,0
518463218,0.0008190008190008,584,0
128253632,0.0,5222,0
13529402,0.0,230,0
296233891,13.89100817438692,15,0
412474587,18.148105091839103,1062,0
1231151156,0.2519083969465648,1698,0
20751449,2.6586021505376345,8027088,0
1457869861414080512,0.1454545454545454,2619,0
34782531,36.0,1206,0
835786237,0.2691605839416058,6733,0
111504976,0.0946502057613168,20051,0
1109497800,2.1596302003081664,658,0
3979810455,10.725631768953068,3923,0
343956175,13.384473197781883,2726,0
544732668,15.939635899073778,45690,0
66244710,0.0,176432,0
722011440790511616,0.1666666666666666,22918,0
17010163,0.0625,3436,0
52571677,0.8021201413427562,5124,0
90658307,0.4,15789,0
1199768132832776193,2.318206181883152,31546,0
65671909,1.5750382848392035,126,0
1220183546247118849,157.87078651685394,1871,0
15186797,8.408415841584159,2989,0
202974878,0.0027624309392265,18251,0
354125985,15.835714285714284,2840,0
85950775,8.97265625,12180,0
1386660560691814401,0.1006006006006006,1968,0
7383122,1.5257731958762886,503651,0
14432332,7.873104549082202,3009,0
937004122456276992,0.0277777777777777,1186,1
1520669684,104.97972972972973,2031,0
1120297398876680194,0.0620582825055668,752,0
33027770,0.0350877192982456,1498,0
49035671,5.204081632653061,143082,0
16701822,1.85,34489,0
21729540,0.1237102263518988,4191,0
1394704519850758146,1.826475849731664,726,1
180748385,0.3502960769800148,127977,0
700597078649507840,0.0514970059880239,14968,0
153340954,0.2432432432432432,4548,0
940477788959555584,0.0,1121,0
365216346,5.757990867579909,77772,0
61018115,0.0082644628099173,965,0
962288264,0.382973483293654,13059,0
81917140,1.1291360294117647,41761,0
1386562590642360320,0.0117408906882591,404,0
4202151411,3.8472222222222223,90213,0
15221598,3.109695973705834,126085,0
286726350,1.5390946502057614,645,1
574681599,0.0910430653348616,1745,0
132645903,2.395833333333333,386677,0
28803148,1.1797752808988764,42954,0
551446885,0.516728624535316,98346,0
2228816504,2.9813432835820897,226084,0
1468735116377825289,0.3855421686746988,473,0
1195118503684165633,0.125,1107,0
1167202523330969601,1.1133317085059713,14250,0
2356127598,0.2226876675603217,4440,0
3534222021,0.0168569874932028,1271,0
19171014,17.205479452054796,4165,0
1225515875106684928,12.379310344827584,2997,0
19489239,5.160732451678535,587289,0
2679788407,30.32075471698113,2779,0
1275643918567313409,0.5862068965517241,878,0
2991516460,0.4042553191489361,4762,0
